"Index","Name","Age","Nationality","Overall","Potential","Preferred Foot","Height","Weight","Standardized Height","Height Percentile"
176,"Kova?i?","24","Croatia",83,89,"Right",69,172,-0.891061870988268,0.186447989397852
177,"Kepa","23","Spain",83,91,"Right",73,187,0.618561436439848,0.731897343398344
178,"Trigueros","26","Spain",83,84,"Right",70,165,-0.513656044131239,0.303746244407079
179,"Gnabry","22","Germany",83,88,"Right",69,165,-0.891061870988268,0.186447989397852
180,"Pickford","24","England",83,88,"Left",73,170,0.618561436439848,0.731897343398344
181,"Savi?","27","Montenegro",83,86,"Right",74,174,0.995967263296877,0.84036697427128
182,"Stones","24","England",83,87,"Right",74,154,0.995967263296877,0.84036697427128
183,"Suso","24","Spain",83,86,"Left",69,154,-0.891061870988268,0.186447989397852
184,"Draxler","24","Germany",83,86,"Right",74,170,0.995967263296877,0.84036697427128
185,"Anderson","25","Brazil",83,85,"Right",69,154,-0.891061870988268,0.186447989397852
186,"Moura","25","Brazil",83,84,"Right",69,154,-0.891061870988268,0.186447989397852
187,"Pereira","26","Portugal",83,86,"Right",74,183,0.995967263296877,0.84036697427128
188,"Fernández","28","Spain",83,85,"Right",71,168,-0.13625021727421,0.445811738816824
189,"Horn","25","Germany",83,87,"Left",76,198,1.75077891701094,0.960008000219213
190,"Allan","27","Brazil",83,83,"Right",69,163,-0.891061870988268,0.186447989397852
191,"Acerbi","30","Italy",83,83,"Left",76,194,1.75077891701094,0.960008000219213
192,"Roberto","26","Spain",83,86,"Right",70,150,-0.513656044131239,0.303746244407079
193,"Rodrigo","27","Spain",83,84,"Left",72,170,0.241155609582819,0.595282742962414
194,"Pizzi","28","Portugal",83,83,"Right",70,159,-0.513656044131239,0.303746244407079
195,"Kampl","27","Slovenia",83,83,"Right",70,148,-0.513656044131239,0.303746244407079
196,"Neto","28","Brazil",83,84,"Right",75,185,1.37337309015391,0.915181804492968
197,"Baumann","28","Germany",83,84,"Right",74,181,0.995967263296877,0.84036697427128
198,"Gueye","28","Senegal",83,83,"Right",69,146,-0.891061870988268,0.186447989397852
199,"Mkhitaryan","29","Armenia",83,83,"Right",70,165,-0.513656044131239,0.303746244407079
200,"Alonso","27","Spain",83,84,"Left",74,192,0.995967263296877,0.84036697427128
201,"Subaši?","33","Croatia",83,83,"Right",75,185,1.37337309015391,0.915181804492968
202,"Glik","30","Poland",83,83,"Right",75,176,1.37337309015391,0.915181804492968
203,"Strootman","28","Netherlands",83,83,"Left",73,176,0.618561436439848,0.731897343398344
204,"Dost","29","Netherlands",83,83,"Right",77,196,2.12818474386796,0.983339115386145
205,"Oscar","26","Brazil",83,84,"Right",70,146,-0.513656044131239,0.303746244407079
206,"Balotelli","27","Italy",83,83,"Right",74,194,0.995967263296877,0.84036697427128
207,"Gustavo","30","Brazil",83,83,"Left",74,172,0.995967263296877,0.84036697427128
208,"Giuliano","28","Brazil",83,83,"Right",68,150,-1.2684676978453,0.102315489580169
209,"Luiz","31","Brazil",83,83,"Right",74,190,0.995967263296877,0.84036697427128
210,"Fährmann","29","Germany",83,84,"Right",78,216,2.50559057072499,0.993887645754496
211,"Mata","30","Spain",83,83,"Left",67,139,-1.64587352470233,0.0498949003918574
212,"Adán","31","Spain",83,83,"Left",75,203,1.37337309015391,0.915181804492968
213,"Patrício","30","Portugal",83,83,"Left",75,185,1.37337309015391,0.915181804492968
214,"Sommer","29","Switzerland",83,84,"Right",72,174,0.241155609582819,0.595282742962414
215,"Martínez","29","Spain",83,83,"Right",76,190,1.75077891701094,0.960008000219213
216,"Bender","29","Germany",83,83,"Right",73,179,0.618561436439848,0.731897343398344
217,"Leiva","31","Brazil",83,83,"Right",70,172,-0.513656044131239,0.303746244407079
218,"Mandanda","33","France",83,83,"Right",73,181,0.618561436439848,0.731897343398344
219,"Fàbregas","31","Spain",83,83,"Right",70,170,-0.513656044131239,0.303746244407079
220,"Dembélé","30","Belgium",83,83,"Left",73,181,0.618561436439848,0.731897343398344
221,"Ribéry","35","France",83,83,"Right",67,159,-1.64587352470233,0.0498949003918574
222,"Jarstein","33","Norway",83,83,"Right",75,181,1.37337309015391,0.915181804492968
223,"Rossi","34","Italy",83,83,"Right",72,183,0.241155609582819,0.595282742962414
224,"Reina","35","Spain",83,83,"Right",74,203,0.995967263296877,0.84036697427128
225,"Pavlenka","26","CzechRepublic",82,85,"Right",77,179,2.12818474386796,0.983339115386145
226,"Ligt","18","Netherlands",82,91,"Right",74,196,0.995967263296877,0.84036697427128
227,"Rodri","22","Spain",82,87,"Right",75,181,1.37337309015391,0.915181804492968
228,"Arthur","21","Brazil",82,90,"Right",67,161,-1.64587352470233,0.0498949003918574
229,"Donnarumma","19","Italy",82,93,"Right",77,198,2.12818474386796,0.983339115386145
230,"Dourado","30","Brazil",82,82,"Right",69,154,-0.891061870988268,0.186447989397852
231,"Mestres","34","Brazil",82,82,"Right",71,181,-0.13625021727421,0.445811738816824
232,"Anjos","30","Brazil",82,82,"Right",75,187,1.37337309015391,0.915181804492968
233,"Martins","23","Portugal",82,87,"Right",68,159,-1.2684676978453,0.102315489580169
234,"Guedes","21","Portugal",82,86,"Right",70,150,-0.513656044131239,0.303746244407079
235,"Torreira","22","Uruguay",82,87,"Right",66,141,-2.02327935155936,0.0215221772540829
236,"Malcom","21","Brazil",82,89,"Left",68,163,-1.2684676978453,0.102315489580169
237,"López","23","Spain",82,87,"Left",74,170,0.995967263296877,0.84036697427128
238,"Hernández","22","France",82,88,"Left",72,168,0.241155609582819,0.595282742962414
239,"Lenglet","23","France",82,88,"Left",73,179,0.618561436439848,0.731897343398344
240,"Kramari?","27","Croatia",82,83,"Right",70,161,-0.513656044131239,0.303746244407079
241,"Robertson","24","Scotland",82,87,"Left",70,141,-0.513656044131239,0.303746244407079
242,"García","28","Spain",82,83,"Right",71,176,-0.13625021727421,0.445811738816824
243,"Bernardeschi","24","Italy",82,87,"Left",73,170,0.618561436439848,0.731897343398344
244,"Brandt","22","Germany",82,88,"Right",73,185,0.618561436439848,0.731897343398344
245,"Rugani","23","Italy",82,86,"Right",75,185,1.37337309015391,0.915181804492968
246,"Castillejo","23","Spain",82,86,"Left",72,148,0.241155609582819,0.595282742962414
247,"Cancelo","24","Portugal",82,88,"Right",72,163,0.241155609582819,0.595282742962414
248,"Romagnoli","23","Italy",82,89,"Left",74,172,0.995967263296877,0.84036697427128
249,"Partey","25","Ghana",82,88,"Right",73,170,0.618561436439848,0.731897343398344
250,"Fred","25","Brazil",82,84,"Left",67,141,-1.64587352470233,0.0498949003918574
251,"Vardy","31","England",82,82,"Right",70,163,-0.513656044131239,0.303746244407079
252,"Belotti","24","Italy",82,87,"Right",71,159,-0.13625021727421,0.445811738816824
253,"Forsberg","26","Sweden",82,83,"Right",70,163,-0.513656044131239,0.303746244407079
254,"Lingard","25","England",82,83,"Right",69,137,-0.891061870988268,0.186447989397852
255,"Vázquez","29","Argentina",82,82,"Left",73,181,0.618561436439848,0.731897343398344
256,"Viš?a","28","BosniaHerzegovina",82,82,"Right",68,139,-1.2684676978453,0.102315489580169
257,"Rüdiger","25","Germany",82,84,"Right",75,187,1.37337309015391,0.915181804492968
258,"Florenzi","27","Italy",82,83,"Right",68,148,-1.2684676978453,0.102315489580169
259,"Maguire","25","England",82,85,"Right",76,220,1.75077891701094,0.960008000219213
260,"Meunier","26","Belgium",82,83,"Right",75,198,1.37337309015391,0.915181804492968
261,"Sané","27","Senegal",82,82,"Right",77,187,2.12818474386796,0.983339115386145
262,"Kondogbia","25","CentralAfricanRep",82,85,"Left",74,176,0.995967263296877,0.84036697427128
263,"Rafinha","25","Brazil",82,87,"Left",69,157,-0.891061870988268,0.186447989397852
264,"Paulista","27","Brazil",82,83,"Right",74,174,0.995967263296877,0.84036697427128
265,"Morata","25","Spain",82,85,"Right",74,187,0.995967263296877,0.84036697427128
266,"Cillessen","29","Netherlands",82,84,"Right",73,183,0.618561436439848,0.731897343398344
267,"Yedder","27","France",82,82,"Right",67,150,-1.64587352470233,0.0498949003918574
268,"Bakambu","27","DRCongo",82,83,"Right",72,161,0.241155609582819,0.595282742962414
269,"Sarabia","26","Spain",82,83,"Left",69,154,-0.891061870988268,0.186447989397852
270,"Zaha","25","IvoryCoast",82,85,"Right",71,146,-0.13625021727421,0.445811738816824
271,"Alberto","25","Spain",82,85,"Right",72,163,0.241155609582819,0.595282742962414
272,"Viera","28","Spain",82,82,"Right",67,141,-1.64587352470233,0.0498949003918574
273,"Bartra","27","Spain",82,83,"Right",72,161,0.241155609582819,0.595282742962414
274,"Coates","27","Uruguay",82,83,"Right",77,203,2.12818474386796,0.983339115386145
275,"José","26","Brazil",82,83,"Right",74,205,0.995967263296877,0.84036697427128
276,"Fernandes","27","Russia",82,82,"Right",74,176,0.995967263296877,0.84036697427128
277,"Ruiz","29","Spain",82,83,"Left",73,172,0.618561436439848,0.731897343398344
278,"Delaney","26","Denmark",82,83,"Left",72,174,0.241155609582819,0.595282742962414
279,"Casteels","26","Belgium",82,85,"Left",78,190,2.50559057072499,0.993887645754496
280,"Götze","26","Germany",82,85,"Right",69,165,-0.891061870988268,0.186447989397852
281,"Mustafi","26","Germany",82,84,"Right",72,181,0.241155609582819,0.595282742962414
282,"Pastore","29","Argentina",82,82,"Right",74,172,0.995967263296877,0.84036697427128
283,"Pedro","30","Spain",82,82,"Right",67,143,-1.64587352470233,0.0498949003918574
284,"Bonaventura","28","Italy",82,82,"Right",71,165,-0.13625021727421,0.445811738816824
285,"Bürki","27","Switzerland",82,85,"Right",74,187,0.995967263296877,0.84036697427128
286,"Taison","30","Brazil",82,82,"Right",68,141,-1.2684676978453,0.102315489580169
287,"Nzonzi","29","France",82,82,"Right",77,165,2.12818474386796,0.983339115386145
288,"Marlos","30","Ukraine",82,82,"Left",69,152,-0.891061870988268,0.186447989397852
289,"Ramsey","27","Wales",82,83,"Right",72,168,0.241155609582819,0.595282742962414
290,"Trippier","27","England",82,82,"Right",70,159,-0.513656044131239,0.303746244407079
291,"Kolarov","32","Serbia",82,82,"Left",74,183,0.995967263296877,0.84036697427128
292,"Sigurðsson","28","Iceland",82,82,"Right",73,181,0.618561436439848,0.731897343398344
293,"Giovinco","31","Italy",82,82,"Right",64,134,-2.77809100527341,0.00273396507736679
294,"Arnautovi?","29","Austria",82,82,"Right",76,183,1.75077891701094,0.960008000219213
295,"Gaitán","30","Argentina",82,82,"Left",68,146,-1.2684676978453,0.102315489580169
296,"Henderson","28","England",82,82,"Right",72,176,0.241155609582819,0.595282742962414
297,"Kruse","30","Germany",82,82,"Left",71,168,-0.13625021727421,0.445811738816824
298,"Parolo","33","Italy",82,82,"Right",72,165,0.241155609582819,0.595282742962414
299,"Fejsa","29","Serbia",82,82,"Right",72,176,0.241155609582819,0.595282742962414
300,"Rami","32","France",82,82,"Right",75,198,1.37337309015391,0.915181804492968
301,"?orluka","32","Croatia",82,82,"Right",76,185,1.75077891701094,0.960008000219213
302,"Wijnaldum","27","Netherlands",82,82,"Right",69,152,-0.891061870988268,0.186447989397852
303,"Fazio","31","Argentina",82,82,"Right",77,187,2.12818474386796,0.983339115386145
304,"Giroud","31","France",82,82,"Left",76,203,1.75077891701094,0.960008000219213
305,"Marcano","31","Spain",82,82,"Left",74,170,0.995967263296877,0.84036697427128
306,"Guardado","31","Mexico",82,82,"Left",67,148,-1.64587352470233,0.0498949003918574
307,"Garay","31","Argentina",82,82,"Right",74,198,0.995967263296877,0.84036697427128
308,"Jardel","32","Brazil",82,82,"Right",76,192,1.75077891701094,0.960008000219213
309,"Sirigu","31","Italy",82,82,"Right",76,176,1.75077891701094,0.960008000219213
310,"Viviano","32","Italy",82,82,"Left",77,198,2.12818474386796,0.983339115386145
311,"Koscielny","32","France",82,82,"Right",73,165,0.618561436439848,0.731897343398344
312,"Consigli","31","Italy",82,82,"Right",74,181,0.995967263296877,0.84036697427128
313,"Biglia","32","Argentina",82,82,"Right",70,139,-0.513656044131239,0.303746244407079
314,"Alves","35","Brazil",82,82,"Right",68,150,-1.2684676978453,0.102315489580169
315,"Villa","36","Spain",82,82,"Right",69,152,-0.891061870988268,0.186447989397852
316,"Aduriz","37","Spain",82,82,"Right",72,172,0.241155609582819,0.595282742962414
317,"?ech","36","CzechRepublic",82,82,"Left",77,198,2.12818474386796,0.983339115386145
318,"Casillas","37","Spain",82,82,"Left",73,185,0.618561436439848,0.731897343398344
319,"Rashford","20","England",81,89,"Right",73,154,0.618561436439848,0.731897343398344
320,"Santeiro","30","Brazil",81,81,"Left",67,139,-1.64587352470233,0.0498949003918574
